????: 1996
???????????(???): 447

1. ??1219	命中后削弱对方单体防御和特防的等级各1级
106. 鼓声震天	削弱对方单体特防等级1级
107. 瓜瓜火炮	40%概率削弱对方单体速度等级2级
108. 光栅炮	10％概率削弱对方单体特防等级1级
109. 光之铁拳	削弱对方单体特攻等级1级，10%概率清除对方提升的属性能力等级
110. 光子冲击波	10％概率削弱对方单体特防等级1级
111. 聒噪	降低对方单体防御等级2级
112. 果实护盾	提升自己防御和特防的等级各2级，削弱速度等级2级
113. 果香飘飘	回复自己1/4体力值并提升速度等级1级
114. 海神浪涛舞	1回合内攻击对方5-8次，每次攻击有10%概率削弱对方攻击和特攻等级1级
115. 海洋冰雹	先发；令对方单体冰冻，对方每受到冰冻伤害1次，就提升自己速度等级2级
116. 海洋风暴	20%概率提升自己全属性等级1级
117. 海洋之灾	攻击对方单体，威力巨大，命中削弱双方的防御等级1级
118. 海域之力	削弱对方攻击、特攻和速度的等级各1级
119. 号角奏鸣	提升自己特攻和特防的等级各1级
120. 浩气凛然	提升自己特攻和速度的等级各2级，削弱自己防御和特防的等级各1级
121. 黑夜降临	提升自己暴击、攻击和速度的等级各1级
122. 虎啸	提升自己攻击和速度的等级各1级
123. 虎啸震天	攻击对方单体，威力巨大，命中则削弱对方的速度等级1级
124. 护城堡垒	5回合内受到伤害，特防等级提升1级
125. 滑音独奏	攻击对方全体，20%概率降低对方命中等级1级
126. 缓速水流	20%概率降低对方单体速度等级1级
127. 幻化千雷闪	命中后降低自身攻击和速度1级
128. 幻灵血脉	提升自身攻击、特攻、防御、特防和速度等级各1级
129. 幻灵迅雷闪	连续攻击对方单体3回合，每回合威力加倍，命中则提升自己速度和闪避等级各1级
130. 幻灵御流术	给对方单体造成自己等级2倍的伤害，并提升自己的双防等级各1级
131. 幻影突刺	攻击对方单体，40%概率提升自己闪避等级1级
132. 黄金斗甲	提升自身暴击等级1级
133. 黄金巨拳	本回合削弱对方单体防御和速度的等级各1级，下回合自动攻击对方
134. 彗星拳	攻击对方单体，20％概率提升自己攻击等级1级
135. 混沌海流	攻击对方全体，30％概率削弱对方命中等级1级
136. 混沌气场	削弱全场攻击和特攻的等级各1级
137. 活力源泉	回复自己一半的体力值，提升自己速度等级1级
138. 火光四射	削弱对方单体防御等级1级
139. 火龙摆尾	攻击敌方1体，自身提升暴击等级，10％几率令对手烧伤
140. 火耀	提升我方全体攻击和特攻的等级各1级
141. 火耀	增加我方全体攻击和特攻1级
142. 火之能	回复1/4体力值，提升自己的速度等级1级
143. 极冰之辉	提升自己特攻和闪避的等级各1级
144. 极地潜能	5回合内受到伤害，攻击等级提升1级
145. 极速暴暴冰	20%概率令对方冰冻；若暴击，则提升自己速度等级1级
146. 极速喷气	命中后提升自己速度等级1级
147. 极速闪避	提升自己速度等级1级，闪避等级2级
148. 极速闪光	1回合内攻击对方单体3~6次，每次攻击有5%概率削弱对方命中等级1级
149. 疾飞突进	20%概率削弱对方单体命中等级1级
150. 疾风步	攻击对方单体，提升自己速度等级1级
151. 加速	提升自己速度等级6级，削弱特攻等级1级
152. 坚果盾	先发，提升自己特防等级3级，削弱防御等级1级
153. 剑舞	削弱对方单体防御等级1级，20%概率令对方害怕
154. 酱油泼洒	40％几率降低对手特攻和特防1级
155. 角刀光电炮	攻击敌方1体，命中后降低自身防御和特防各一级
156. 叫声	削弱对方单体攻击等级1级
157. 截取字符串	攻击对方单体，提升自己防御和特防的等级各1级
158. 借风使力	提升自己攻击和速度的等级各1级
159. 精准	提升自己速度和命中的等级各1级
160. 精准光暴	攻击对方单体，提升暴击等级1级
161. 精准压制	攻击对方单体，10%概率提升自己速度等级1级，必定命中
162. 巨大化	提升自己攻击等级2级
163. 巨人力量	提升自己攻击和防御的等级各1级
164. 巨人力量	提升自身攻击及防御一级
165. 巨兽之力	提升自己攻击等级2级
166. 飓风锤锤	削弱对方单体防御、特防的等级各1级
167. 聚灵破	牺牲自己，降低敌方1体全属性2级
168. 聚能效应	使用后接下来4回合自己全属性不能被削弱，技能威力提升至1.2倍，不可叠加使用
169. 聚气凝神	提升自己攻击和速度的等级各1级
170. 绝对防御	先发；每次受到伤害时，60%概率削弱对方攻击和特攻等级各1级，持续3回合
171. 绝对改造	削弱对方单体攻击和特攻的等级各1级
172. 空翔术	提升自己攻击和闪避的等级各1级
173. 狂暴	提升自己速度和暴击的等级各1级
174. 狂暴诅咒	令对方单体混乱，并提升对方提升攻击等级2级
175. 狂风之千刃	50%概率令对方单体混乱；如果对方处于混乱状态，则削弱对方双防等级各1级
176. 狂龙吟	提升自身特攻和速度2级，降低防御2级
177. 狂乱之剑	削弱自己攻击和速度的等级各1级
178. 狂猛之气	提升自己特攻、特防和速度各1级
179. 狂热	先发；削弱对方单体攻击、特攻和特防的等级各1级
180. 狂想曲	提升自己速度和闪避的等级各1级
181. 狂野头槌	攻击对方单体，容易暴击，暴击后提升自己速度等级1级
182. 狼魂	提升自己攻击、防御和速度的等级各1级
183. 雷光闪	攻击对方单体，70％概率提升自己特攻等级1级
184. 雷光四射	攻击对方单体，命中则削弱对方命中等级1级
185. 雷神护体	回复自身最大HP的1/2，同时提升自身防御和特防一级
186. 雷神灵能	提升自己防御、特防和速度等级各1级，
187. 雷神之域	提升自己攻击、特攻、速度和闪避的等级各1级
188. 雷霆一击	40%概率削弱对方单体命中等级1级
189. 冷月	50%概率削弱对方单体防御等级1级
190. 力大大	提升自己攻击等级3级，削弱速度等级2级
191. 烈风之刃	1回合内攻击对方单体4~6次，命中后提升自己暴击等级1级
192. 临别礼物	牺牲自己，削弱对方单体攻击和特攻等级2级
193. 灵风之心	提升自己防御和特防等级各1级，回复自己1/3体力值
194. 灵气逼人	30%概率清除对方单体防御和特防提升的等级
195. 灵雀之力	使用1次提升自身防御和特防1级，若自身不死，则每回合扣除对方50点体力值
196. 铃叮当	削弱对方单体速度等级1级，30%概率令对方冰冻
197. 零式&middot;爆破	10%机率降低敌方全属性1级
198. 龙魂锁定	提升自己特攻等级2级和命中等级1级
199. 龙烈焰	命中后40%概率提升自己暴击等级1级
200. 龙破甲	75%概率削弱对方单体防御等级1级
201. 龙气万丈	先发，提升自己攻击和防御的等级各2级，削弱速度等级1级
202. 龙闪	提升自己闪避等级2级
203. 龙神霸绝击	攻击对方4~10次，每次攻击都有5%机率降低对方全属性1级
204. 龙神庇护	提升自己防御和特防的等级各1级，自己剩余体力值越少回复体力值越多
205. 龙噬灵	75%概率削弱对方单体特防等级1级
206. 龙腾四海	额外增强全属性（除体力、闪避和暴击外）基础数值的10%，一场战斗最多提升5次
207. 龙翔	攻击对方单体，命中后提升自己速度等级1级
208. 龙啸九天	提升全属性1级，50%概率扣除100体力值
209. 龙牙剑	削弱对方单体防御和速度的等级各1级
210. 龙吟	提升自己攻击、特攻和速度的等级各1级
211. 龙吟风暴	削弱对方单体防御、特防、速度和闪避的等级各1级
212. 龙战于野	提高自身双攻、速度等级两级，本回合结束时，自身HP下降为1点
213. 龙之吐息	提升自身攻击、特攻、防御和特防各1级
214. 绿野仙踪	攻击敌方1体，20％几率令自身回避等级提高一级
215. 绿野仙踪	攻击对方单体，20％概率提升自己回避等级1级
216. 萝卜巨锤	50%概率发动1.2倍威力，命中后削弱自己速度等级1级
217. 漫天飞花	降低自己防御和特防的等级1级，同时降低对方命中攻击2级
218. 美人鱼之歌	提升自己特防等级1级，回复1/4体力值
219. 美人鱼之舞	40%概率削弱对方防御等级1级
220. 美味巧克力	回复50点体力值并且提升自己速度等级2级
221. 魅力无限	提升自己命中、特攻和闪避的等级各1级
222. 迷幻之音	50%概率削弱对方单体命中等级1级
223. 迷魂魅影	30%概率麻痹对方单体，命中后削弱自己防御和特防的等级各1级
224. 迷惑	20%概率削弱对方单体命中等级1级
225. 迷茫	先发，削弱对方单体命中等级1级，10%概率令对方睡眠
226. 米果空气炮	30%概率清除对方单体提升的攻击等级
227. 蜜桃甜甜	使用后5回合内，受到伤害时70%概率削弱对方特攻等级1级
228. 喵喵拳	命中后削弱自己攻击等级1级
229. 喵喵爪	30%概率削弱对方单体防御等级2级
230. 喵爪狂击	本回合削弱对方单体防御和速度的等级各1级，下回合攻击对方1-20次
231. 妙手空空	50%概率清除对方单体提升的特防等级
232. 命运暗盾	通过命运的力量，提升特防、防御和闪避等级各1级，75%概率作用给自己，25%概率作用给对方
233. 魔法飞行	提升自己特攻和速度的等级各1级
234. 魔法书	10%概率削弱对方单体全属性等级1级
235. 魔高一丈	提升自己特攻等级2级
236. 魔魂之力	提升自己攻击、防御和速度的等级各1级
237. 魔剑意念	提升自己攻击和命中的等级各1级
238. 魔力爆发	提升自己特攻等级2级
239. 魔力裁决	攻击对方单体，50%概率提升自己速度等级1级
240. 魔龙啸	提升自己特攻等级2级和速度等级1级
241. 魔神觉醒	提升命中、特防和暴击等级1级
242. 魔神之域	提升自己特攻、速度和命中的等级各1级，并且5回合提升伤害抵抗能力25%
243. 魔藤屏障	提升自己防御等级3级，削弱自己攻击等级1级
244. 墨汁炮	50％概率削弱对方单体命中等级1级
245. 泥浆爆弹	30%概率削弱对方单体命中等级1级
246. 泥浆喷射	削弱对方单体速度等级1级
247. 泥泞	攻击对方全体，30%概率降低对方速度等级1级
248. 鸟神降临	次回合攻击敌方1体，提升暴击等级，30％几率令对手害怕
249. 凝风月舞	40%概率削弱对方单体攻击和特攻等级各1级
250. 怒气爆发	提升自己攻击等级2级
251. 糯米饭团	提升防御和特防的等级各1级，并且下次使用“粽”力场技能效果提升
252. 泡泡缠绕	1回合内攻击对方单体3~8次，削弱自己防御等级1级
253. 泡泡水枪	30%概率降低对方单体命中等级1级
254. 劈山斧	先发；削弱对方单体特攻和特防的等级各1级
255. 霹雳穿甲炮	攻击敌方1体，若命中则100％令对方防御和特防等级下降一级
256. 霹雳霹雳	本回合自己承受伤害减半并提升速度等级1级，下回合自动攻击对方，50%概率麻痹对方
257. 辟邪	20%概率降低对方单体攻击和防御的等级各1级
258. 破甲	降低对方单体防御等级1级
259. 破甲钢拳	攻击对方单体，削弱双方的防御等级1级
260. 破甲雷爆钻	削弱对方单体的防御等级1级
261. 破魔剑气	先发，命中后削弱自己防御等级1级
262. 七十二变	成功率75%，使用成功则增加双防和闪避1级，失败则扣除自身50点HP
263. 奇光异彩	使用1次提升防御和特防的等级各1级；另外10回合内，每回合回复自己最大体力值的1/10
264. 奇魂幻影	提升自己命中、攻击和闪避的等级各1级
265. 奇门遁甲	提升自己攻击、特攻和速度的等级各1级
266. 气合	提升自己特攻和命中的等级各2级
267. 千军万马	提升自己攻击和速度的等级各1级
268. 千钧一发	攻击对方单体，自己剩余体力越少，技能威力越大，使用后削弱自己速度等级1级
269. 千年寒冰	30%概率清除对方单体攻击和特攻提升的等级
270. 乾坤律令	提升自己防御、特防和命中的等级各1级
271. 乾坤一掷	40%概率削弱对方单体的防御等级1级
272. 潜伏	提升自己特攻、特防和速度的等级各1级
273. 潜龙勿用	两回合自身无法行动，两回合后提高自身全属性3级
274. 潜行护佑	本回合自己回复100点体力值保护自己，5回合内全属性不可被削弱
275. 强袭冲击腿	攻击对方单体，提升自己速度等级1级
276. 强效腐蚀	45%概率削弱对方单体特防等级2级
277. 强制转换	削弱自己防御和特防的等级各1级，5回合内附加100~150点伤害值
278. 青龙偃月	临时大幅度提升暴击等级并攻击对方
279. 清风细雨	攻击对方全体，20%概率提升自己特攻等级1级
280. 秋色平分	令对方全体冰冻，并且被冰冻时，速度等级每回合削弱1级
281. 驱魔	20%概率降低对方单体特攻和特防1级
282. 全力冲刺	削弱对方单体防御和特防的等级各1级
283. 全力一击	攻击对方单体，必定命中，暴击后提升自己速度等级1级
284. 燃烧爆弹	先发；令烧伤中的对手每回合降低攻击等级1级，持续回合数等于烧伤回合数
285. 燃烧的意志	提升自己攻击和特攻的等级各2级
286. 热阳	50%概率削弱对方单体特防等级1级
287. 扔沙	削弱对方单体命中等级1级
288. 日月星辰	提升自己攻击和暴击的等级各1级
289. 弱点探测	自身暴击等级提高3级
290. 弱化极光	攻击对方单体，10％概率削弱对方攻击等级1级
291. 三剑舞	1回合内攻击对方3次，每次攻击有10%概率削弱对方防御等级1级
292. 沙尘风暴	连续攻击对方2回合，之后提升自己防御和特防的等级各1级
293. 沙尘滚滚	50%概率削弱对方单体速度等级1级，20%概率束缚对方
294. 山魂咆哮	20%机率提升自身全属性1级
295. 闪光	削弱对方单体命中等级1级
296. 闪耀种子	攻击对方单体，40％概率削弱对方特防等级2级
297. 善恶天秤	1/4几率秒杀敌方1体，3/4几率提升对手全属性等级一级，对BOSS无效
298. 上古血脉	全属性提高一级，自身下回合不能行动
299. 上古血脉	提升自己全属性1级，下回合自己停止行动
300. 上善若水	先发，削弱对方单体特攻和速度的等级各1级
301. 深渊怒火	连续攻击对方单体2回合，每次攻击有40%概率削弱对方特防等级1级
302. 神龙摆尾	攻击敌方1体，20%机率提升自身全属性1级
303. 神鸟	本回合休息，提升暴击等级，下回合攻击对方单体，30％概率令对方害怕
304. 神气弹	30%概率清除对方单体提升的防御等级
305. 神圣光暴	攻击对方单体，随机爆发220~280的威力，命中后提升自己暴击等级1级
306. 神之审判	20%机率令对方害怕，10%机率降低对方全属性1级
307. 圣光照耀	提升我方全体防御、特防和速度等级各1级
308. 圣灵裂甲	75%概率削弱对方单体防御等级1级
309. 圣灵噬魂	75%概率削弱对方单体特防等级1级
310. 圣龙暴息	提升自己攻击等级2级和暴击等级1级
311. 胜利意志	扣除自己最大体力值的3/4，提升自己攻击等级6级
312. 十字神杖	提升自身暴击等级和普攻1级
313. 时速之剑	1回合内攻击对方单体4~8次，每次攻击有10%概率削弱对方速度等级1级
314. 时钟滴答	后发，命中后50%概率削弱对方攻击等级1级
315. 噬魂	10％概率削弱对方单体全属性1级
316. 噬魂	攻击敌方1体，10％几率对手全属性下降一级
317. 噬灵飓风	必定命中；使用后提升命中和暴击等级1级
318. 噬月啸天	攻击对方单体，60%概率削弱对方全属性1级，30%概率令对方害怕
319. 兽力加持	提升自己速度、命中和暴击的等级各1级
320. 兽力闪	回复自己1/4体力值，提升攻击和闪避的等级各1级
321. 兽王神力	先发；提升自己特防等级3级，削弱自己防御等级3级
322. 数据改造	40%概率削弱对方单体攻击和特攻的等级各1级
323. 数码世界	削弱全场攻击和特攻的等级各2级
324. 数码炫光	提升自己速度和命中的等级各1级
325. 衰老	使对手年龄增长，降低对手攻击等级、防御等级、速度等级一级，提高对手特攻等级两级。
326. 双龙出海	40%机率降低对方防御和特防各1级
327. 霜月流星	30%概率削弱对方单体攻击和特攻的等级各1级，对方冰冻时削弱概率会增加至80%
328. 水盾	提升我方全体防御和特防的等级各1级
329. 水龙卷	攻击对方全体，20%概率提升自己攻击等级1级
330. 水柔之力	削弱对方攻击、特攻和命中的等级各1级
331. 水雾突刺	1回合内攻击对方5次，每次攻击有10%概率削弱对方攻击等级1级
332. 水之壁障	提升自己防御和特防的等级各2级，削弱速度等级1级
333. 水之护壁	提升自己防御和特防的等级各1级
334. 瞬闪	提升自己闪避等级2级
335. 撕裂之爪	50％概率降低对方单体防御等级1级
336. 四面楚歌	提升自己特攻、特防和命中的等级各1级
337. 速战强袭	攻击对方单体，命中后提升自己速度等级1级
338. 速战意念	提升自己速度等级3级，持续4回合
339. 碎石	攻击对方单体，20%概率提升自己速度等级2级
340. 腾云	50%概率削弱对方单体命中等级1级
341. 体格强化	提升自己攻击和防御的等级各1级
342. 天寒地冻	削弱对方单体特攻、特防和速度的等级各1级
343. 天龙罡气	提升自己防御、特防、速度和命中的等级各1级
344. 铁壁	提升自己防御等级2级
345. 铁拳霸绝击	容易暴击，降低自己防御等级1级
346. 铜墙铁壁	提升自己防御等级2级
347. 突击	降低对方单体特防等级1级
348. 突击	削弱对方单体特防等级1级
349. 突袭	降低对方单体特防等级2级
350. 突咬	30%概率削弱对方单体防御等级1级
351. 万物皆明	攻击对方单体，削弱对方全属性1级并且2~5回合不可替换亚比，下回合自己停止行动
352. 王子烈焰剑	令对方单体烧伤，对方每受到烧伤伤害1次，就提升自己速度等级1级
353. 污秽	削弱对方单体全属性1级
354. 无明业火	10%概率削弱对方全属性1级；有“卧龙觉醒”存在的话，额外增加10%概率
355. 五彩星光	攻击对方全体，10%概率削弱对方命中等级1级，5%概率令对方混乱
356. 武斗觉醒	提升命中、防御和暴击等级1级
357. 西西里舞曲	提升自己速度等级2级
358. 香甜气息	降低对方全体回避等级1级
359. 香甜气息	削弱对方全体回避等级1级
360. 翔空之翼	1回合内攻击对方单体4~6次，命中后提升自己速度等级1级
361. 萧郎一剑	命中后削弱对方单体速度等级1级
362. 小小飞刀	40%概率削弱对方单体速度等级3级
363. 小猪快跑	提升自己闪避等级2级
364. 星辰爆破	50%机率提升自身双攻1级
365. 星辰闪烁	20%削弱对方命中等级1级，容易暴击
366. 星辰之力	提升自己命中、攻击和速度的等级各1级
367. 星辰之力	提升自己命中率、攻击和速度各1级
368. 星光漫天	攻击对方全场，10%机率降低对方命中等级1级
369. 星光漫天	攻击对方全体，10%概率削弱对方命中等级1级
370. 星火灵光	提升自己攻击和暴击的等级各1级
371. 星逝	攻击对方单体，30％概率提升自己闪避等级1级
372. 星移物转	提升自己攻击和防御的等级各2级，削弱自己特攻和特防的等级各2级
373. 星之光辉	提升我方全体攻击、特攻和速度等级1级，30%概率清除我方全体被削弱的属性能力等级
374. 星之光辉	提升我方全体攻击、特攻和速度等级1级，30%机率清除我方全体被削弱的属性能力等级
375. 猩红之魔眼	使用后，接下来2个回合暴击等级提升至6级，不可叠加使用
376. 虚化	削弱对方单体的特攻和特防的等级各1级
377. 虚幻冰雪	令对方全体冰冻，并削弱对方命中和闪避的等级各1级
378. 虚弱光线	降低对方单体攻击等级1级
379. 虚弱咒印	降低对方单体攻击等级2级
380. 虚张声势	令对方单体混乱，并提升对方攻击等级2级
381. 蓄力强击	自己速度比对方慢，则威力加倍，否则减半，命中后削弱对方速度等级1级
382. 玄灵甲	先发；使用后3个回合伤害减半，受到伤害都有50%机率降低对方全属性1级，不可叠加使用
383. 旋空斩	1回合内攻击对方单体4~6次，命中后提升自己特攻等级1级
384. 旋转风暴	50%概率提升自己的闪避等级1级
385. 旋转光电炮	20%概率提升自己防御等级1级
386. 漩涡之眼	提升自己特攻和暴击的等级各1级
387. 炫彩极光	10%机率令对方睡眠，5%机率降低对方全属性1级
388. 炫灵	使用后，每回合提升自己的速度等级1级，并提升自己伤害抵抗能力30%，持续3回合
389. 炫目	降低对方单体命中等级1级
390. 炫雨露千针	攻击对方单体，40％概率削弱对方特防等级2级
391. 眩晕之光	15%概率削弱对方单体命中等级1级
392. 揠苗助长	攻击对方单体，随机扣除对方50~200的体力值，命中后提升自己双防等级1级
393. 岩浆热气	削弱对方单体防御和特防的等级各1级
394. 岩裂	攻击对方单体，命中后提升自己特防等级1级
395. 岩轮	提升自己速度等级2级
396. 岩石壁	提升自己防御和特防的等级各2级，但削弱攻击和特攻的等级各1级
397. 岩石封杀	令对方单体速度等级下降1级
398. 炎之剑	50%概率削弱对方单体防御和特防的等级各1级
399. 妖之舞	100％提升自身攻击和速度一级
400. 夜之域	先发，提升我方全体伤害30%，闪避等级2级，持续3回合，不可叠加
401. 移形换步	提升自己特攻和特防的等级各2级，削弱自己攻击和防御的等级各2级
402. 异能强化	100 ％提升自身特攻和特防一级
403. 异能强化	100％提升自身特攻和特防一级
404. 意念护盾	提升自己特防等级2级
405. 翼羽术	提升自己特攻和闪避的等级各1级
406. 阴谋	提升自己特攻等级2级
407. 音刃裂空	40%概率提升自己攻击等级1级
408. 银龙傲世	30%概率削弱对方防御和特防的等级各1级
409. 樱花落	提升自己特攻等级1级，回复20%体力值
410. 硬化	提升自己防御等级1级
411. 宇宙力量	100 ％提升自身防御和特防一级
412. 宇宙力量	100％提升自身防御和特防一级
413. 宇宙力量	提升自己防御和特防的等级各1级
414. 羽翼光环	回复自己1/4体力值并且提升速度等级1级
415. 羽翼灵	60%概率削弱对方单体特防等级1级
416. 玉石俱焚	攻击对方单体，10%概率削弱对方全属性1级，命中后消耗自己所有技能的PP
417. 元宝弹	30%概率消除对方单体提升的特防等级
418. 元素庇护	提升自己防御等级1级
419. 原·水源之力	提升自己全属性2级
420. 原始力量	攻击对方单体，10％概率令自己全属性提升1级
421. 月影无踪	攻击敌方1体，命中后1/3机率降低对方全属性1级，1/3机率令对方害怕
422. 杂草丛生	攻击对方全体，20%概率削弱对方防御和特防的等级各1级
423. 噪音	削弱对方单体防御等级2级
424. 斩击	10%概率提升自己全属性1级
